AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,46.247501,46.555000,45.917500,46.512501,44.875103,113611200;2018-05-08,109.529999,111.339996,109.279999,110.989998,101.844864,12543200;2018-05-08,95.849998,96.160004,95.059998,95.809998,92.053879,23484600
2018-05-09,46.637501,46.849998,46.305000,46.840000,45.191067,92844800;2018-05-09,111.440002,113.639999,111.029999,113.410004,104.065491,11368100;2018-05-09,96.010002,96.970001,95.050003,96.940002,93.139587,27327400
2018-05-10,46.935001,47.592499,46.912498,47.509998,45.837475,111957200;2018-05-10,113.190002,114.440002,112.750000,114.290001,104.872971,9159700;2018-05-10,97.459999,97.949997,97.050003,97.910004,94.071556,22388100
2018-05-11,47.372501,47.514999,46.862499,47.147499,45.663143,104848800;2018-05-11,114.489998,114.730003,113.669998,113.860001,104.478401,10253000;2018-05-11,97.800003,97.870003,97.040001,97.699997,93.869774,16778300
2018-05-14,47.252499,47.382500,46.965000,47.037498,45.556606,83115200;2018-05-14,114.110001,114.699997,113.739998,113.900002,104.515106,8710700;2018-05-14,97.919998,98.690002,97.309998,98.029999,94.186859,19454100
2018-05-15,46.695000,46.767502,46.275002,46.610001,45.142567,94780800;2018-05-15,113.910004,113.910004,112.570000,113.029999,103.716789,11536200;2018-05-15,97.239998,97.849998,96.339996,97.320000,93.504684,24594000
2018-05-16,46.517502,47.115002,46.500000,47.044998,45.563873,76732400;2018-05-16,112.889999,113.690002,112.629997,113.339996,104.001236,7571100;2018-05-16,97.360001,97.400002,96.620003,97.150002,93.745926,17384700
2018-05-17,47.000000,47.227501,46.590000,46.747501,45.275738,69176000;2018-05-17,113.199997,113.410004,112.199997,112.959999,103.652557,8617200;2018-05-17,96.760002,97.540001,95.830002,96.180000,92.809929,17246700
2018-05-18,46.797501,46.952499,46.532501,46.577499,45.111092,73190800;2018-05-18,112.750000,112.800003,110.839996,111.129997,101.973328,11806300;2018-05-18,96.010002,96.930000,96.010002,96.360001,92.983612,17865800
2018-05-21,47.000000,47.317501,46.727501,46.907501,45.430706,73603200;2018-05-21,112.050003,112.540001,111.919998,112.150002,102.909309,9441900;2018-05-21,97.000000,98.010002,96.800003,97.599998,94.180168,19422500
